Date,Time,Data,MMSI,Type,Message,NMEA,Slot,Slots
Tue Jul 22 2025,21:06:27,603753bd0c4d98086501521c1359000000000000,232058691,Static data report,"Name: SY HYPERGAMY","!AIVDM,1,1,,,H3MCg@i=V0QU0E8L4mT00000000,2*0d
",1046,1
Tue Jul 22 2025,21:06:28,603753bd0d255934140b35cd48b2f900002030514c,232058691,Static data report,"Type: Vessel - Pleasure craft Vendor ID: VSPTB3W Callsign: MRKK9","!AIVDM,1,1,,,H3MCg@lUFC@D2kG=B;;q000P<55<,0*7d
",1075,1
Tue Jul 22 2025,21:06:37,487a127a4c000132b128c75d44d7dd9ffca74e0006,512007827,Standard Class B equipment position report,"Lat: -17.7746° Lon: 177.181° Speed: 0.1 knts Course: 354.5°","!AIVDM,1,1,,,B7`BNTh00C:i:<MMA=OMWwjWCP06,0*22
",1415,1
Tue Jul 22 2025,21:06:57,483c850ac00001b2b19db75d49dca60fff25de0006,253838000,Standard Class B equipment position report,"Lat: -17.7724° Lon: 177.188° Speed: 0.1 knts Course: 265.6°","!AIVDM,1,1,,,B3j52d000K:iWKMMBMjV3wtUoP06,0*44
",2144,1
Tue Jul 22 2025,21:07:11,484052fae0000032b133af5d45ede10ff941c98e7a,269795000,Standard Class B equipment position report,"Lat: -17.7741° Lon: 177.182° Speed: 0 knts Course: 360°","!AIVDM,1,1,,,B41Bvf0003:i<ruMANoQ3wU1jHqr,0*64
",414,1
Tue Jul 22 2025,21:07:16,607a1256745c124e04e240000000000000000000,512005533,Static data report,"Name: WAINANI","!AIVDM,1,1,,,H7`BEWAL4Tp4pT0000000000000,2*17
",630,1
Tue Jul 22 2025,21:07:18,607a125675241c148d24e01a346cf6e73048184040,512005533,Static data report,"Type: Vessel - Sailing Vendor ID: GARMIN Callsign: ZMF3693","!AIVDM,1,1,,,H7`BEWDT71B=9>0J=6knqk186410,0*22
",691,1
Tue Jul 22 2025,21:07:21,607a128ba808c54580f0c504e4c0000000000000,512008938,Static data report,"Name: BLUE OCEANS","!AIVDM,1,1,,,H7`BRrP8iDF0t<D4q<000000000,2*6e
",813,1
Tue Jul 22 2025,21:07:21,607a128ba925593400526e9a357d34c30068005000,512008938,Static data report,"Type: Vessel - Pleasure craft Vendor ID: VSP@T&: Callsign: ZMW4400","!AIVDM,1,1,,,H7`BRrTUFC@0DVrJ=Gllhh1`0500,0*6a
",817,1
Tue Jul 22 2025,21:07:24,6077f05e204d5405482820820820820820820820,503060360,Static data report,"Name: SUPERB","!AIVDM,1,1,,,H7OhGR1=E0E8:22222222222220,2*14
",921,1
Tue Jul 22 2025,21:07:29,6077f05e212404d0c00000135501520a00500811bc,503060360,Static data report,"Type: Vessel - Sailing Vendor ID: AMC Callsign: SUPERB","!AIVDM,1,1,,,H7OhGR4T1=30000CE@5B2P1@216t,0*16
",1098,1
Tue Jul 22 2025,21:07:36,4850ae1eec0001b2b1aa675d4bb1e10ffc61d94a4a,338397115,Standard Class B equipment position report,"Lat: -17.7717° Lon: 177.188° Speed: 0.1 knts Course: 360°","!AIVDM,1,1,,,B52f7fh00K:ibVMMBs7Q3wiQnDa:,0*0b
",1350,1
Tue Jul 22 2025,21:07:37,487a12a4dc0000b2b192e75d4ab3e10ff8c5de0006,512010551,Standard Class B equipment position report,"Lat: -17.7721° Lon: 177.187° Speed: 0 knts Course: 360°","!AIVDM,1,1,,,B7`Ba=h00;:iTfMMBc?Q3wS5oP06,0*0a
",1414,1
Tue Jul 22 2025,21:07:38,483e456af8000032b158cf5d48a20b9824c1c93e4a,261184190,Standard Class B equipment position report,"Lat: -17.773° Lon: 177.184° Speed: 0 knts Course: 18.5°","!AIVDM,1,1,,,B3q5JgP003:iF<uMB:8;V2C1jCq:,0*02
",1453,1
Tue Jul 22 2025,21:07:45,047bbd22303f00032b07ec75d5290b74115a01401c,518998156,Position report (Scheduled),"Lat: -17.7687° Lon: 177.172° Speed: 0 knts Course: 293.2° Status: Under way using engine","!AIVDM,1,1,,,17fu8S0w00<c1vimmBT;M15J0D0L,0*09
",1693,1
